Time, Soil Reading
2021-12-03 10:07:18.662230,  232
2021-12-03 10:17:18.763354,  272
2021-12-03 10:27:18.854965,  272
2021-12-03 10:37:18.956216,  274
2021-12-03 10:47:19.057446,  273
2021-12-03 10:57:19.158829,  272
2021-12-03 11:07:19.260101,  272
2021-12-03 11:17:19.361361,  270
2021-12-03 11:27:19.462606,  269
2021-12-03 11:37:19.563855,  266
2021-12-03 11:47:19.665174,  264
2021-12-03 11:57:19.766437,  261
2021-12-03 12:07:19.867681,  260
2021-12-03 12:17:19.968910,  258
2021-12-03 12:27:20.070161,  256
2021-12-03 12:37:20.171438,  254
2021-12-03 12:47:20.272667,  251
2021-12-03 12:57:20.364954,  250
2021-12-03 13:07:20.444968,  250
2021-12-03 13:17:20.504956,  248
2021-12-03 13:27:20.514954,  248
2021-12-03 13:37:20.534954,  249
2021-12-03 13:47:20.554963,  251
2021-12-03 13:57:20.656162,  252
2021-12-03 14:07:20.684955,  253
2021-12-03 14:17:20.694954,  253
2021-12-03 14:27:20.796182,  254
2021-12-03 14:37:20.814966,  255
2021-12-03 14:47:20.844958,  256
2021-12-03 14:57:20.864956,  257
